Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,1077,1329,43040000,53160000,2.9824645413087407
G401_BR1,14,40000,253.0,759,2,1079,1331,43120000,53240000,2.9815943816737795
G401_BR1,14,40000,253.0,759,2,1081,1333,43200000,53320000,2.981020933834021
G401_BR1,14,40000,253.0,759,2,1083,1335,43280000,53400000,2.9806518146391823
G401_BR1,14,40000,253.0,759,2,1085,1337,43360000,53480000,2.975737119477033
G401_BR1,14,40000,253.0,759,2,1087,1339,43440000,53560000,2.9677386737008704
G401_BR1,14,40000,253.0,759,2,1089,1341,43520000,53640000,2.9688379858535887
G401_BR1,14,40000,253.0,759,2,1091,1343,43600000,53720000,2.967156260987431
G401_BR1,14,40000,253.0,759,2,1093,1345,43680000,53800000,2.974655747601907
G401_BR1,14,40000,253.0,759,2,1095,1347,43760000,53880000,2.9809696424475365
G401_BR1,14,40000,253.0,759,2,1097,1349,43840000,53960000,2.9834883646449555
G401_BR1,14,40000,253.0,759,2,1099,1351,43920000,54040000,2.9834041015176047
G401_BR1,14,40000,253.0,759,2,1101,1353,44000000,54120000,2.9829666687723893
G401_BR1,14,40000,253.0,759,2,1103,1355,44080000,54200000,2.984324319874107
G401_BR1,14,40000,253.0,759,2,1105,1357,44160000,54280000,2.9837263715446083
G401_BR1,14,40000,253.0,759,2,1107,1359,44240000,54360000,2.984485582897789
G401_BR1,14,40000,253.0,759,2,1109,1361,44320000,54440000,2.988783724272221
G401_BR1,14,40000,253.0,759,2,1111,1363,44400000,54520000,2.9934715287227487
G401_BR1,14,40000,253.0,759,2,1113,1365,44480000,54600000,2.9875273204675996
G401_BR1,14,40000,253.0,759,2,1115,1367,44560000,54680000,2.987422054224962
G401_BR1,14,40000,253.0,759,2,1117,1369,44640000,54760000,2.988023267397313
G401_BR1,14,40000,253.0,759,2,1119,1371,44720000,54840000,2.9946911881867635
G401_BR1,14,40000,253.0,759,2,1121,1373,44800000,54920000,2.9931951619098163
G401_BR1,14,40000,253.0,759,2,1123,1375,44880000,55000000,2.9923855777242703
G401_BR1,14,40000,253.0,759,2,1125,1377,44960000,55080000,2.9860532780172635
G401_BR1,14,40000,253.0,759,2,1127,1379,45040000,55160000,2.9897255604447244
G401_BR1,14,40000,253.0,759,2,1129,1381,45120000,55240000,2.9874454774115966
